"","staid","LakeElevFt","Date","qualcode","LakeElev_m","DBL_elev_N","DBL_elev_S","DBL_vol_N_m3","DBL_vol_S_m3","DBL_vol_total_m3","UBL_vol_m3","GB_vol_m3","DBL_vol_acreft","UBL_vol_acreft","GB_vol_acreft"
"2392","10010000",4193.41,2016-07-19,"A",1278.15132709916,1272.0691735753,1270.92582600001,234654823.945312,77378450.328125,312033274.273438,7372989010.00781,7685022284.28125,252969.743919316,5977385.41225947,6230355.15617879
"2393","10010000",4193.41,2016-07-20,"A",1278.15132709916,1272.0691735753,1270.92582600001,234654823.945312,77378450.328125,312033274.273438,7372989010.00781,7685022284.28125,252969.743919316,5977385.41225947,6230355.15617879
"2394","10010000",4193.46,2016-07-21,"A",1278.16656709867,1272.084895616,1270.92582600001,237690858.21875,77378450.328125,315069308.546875,7395383467.59375,7710452776.14062,255431.099409271,5995540.9125468,6250972.01195607
"2395","10010000",4193.4,2016-07-22,"A",1278.14827909925,1272.06602916716,1270.92582600001,234049812.304688,77378450.328125,311428262.632812,7368512672.11719,7679940934.75,252479.252512098,5973756.38246281,6226235.63497491
"2396","10010000",4193.45,2016-07-23,"A",1278.16351909877,1272.08175120786,1270.92582600001,237082187.890625,77378450.328125,314460638.21875,7390902873.65625,7705363511.875,254937.641852876,5991908.43231335,6246846.07416623
"2397","10010000",4193.43,2016-07-24,"A",1278.15742309896,1272.07546239158,1270.92582600001,235867042.453125,77378450.328125,313245492.78125,7381944239.39062,7695189732.17188,253952.506434658,5984645.54209333,6238598.04852799
"2398","10010000",4193.39,2016-07-25,"A",1278.14523109935,1272.06288475903,1270.92582600001,233445532.375,77378450.328125,310823982.703125,7364037185.46875,7674861168.17188,251989.354313181,5970128.04278011,6222117.39709329
"2399","10010000",4193.36,2016-07-26,"A",1278.13608709965,1272.05345153461,1270.92582600001,231637083.015625,77378450.328125,309015533.34375,7350615832.8125,7659631366.15625,250523.219099245,5959247.16428275,6209770.383382
"2400","10010000",4193.36,2016-07-27,"A",1278.13608709965,1272.05345153461,1270.92582600001,231637083.015625,77378450.328125,309015533.34375,7350615832.8125,7659631366.15625,250523.219099245,5959247.16428275,6209770.383382
"2401","10010000",4193.35,2016-07-28,"A",1278.13303909974,1272.05030712647,1270.92582600001,231035730.023438,77378450.328125,308414180.351562,7346143751.03906,7654557931.39062,250035.693809537,5955621.58497988,6205657.27878942
"2402","10010000",4193.33,2016-07-29,"A",1278.12694309994,1272.04401831019,1270.92582600001,229835219.234375,77378450.328125,307213669.5625,7337202141.10938,7644415810.67188,249062.422905693,5948372.49662735,6197434.91953304
"2403","10010000",4193.32,2016-07-30,"A",1278.12389510004,1272.04087390205,1270.92582600001,229236061.453125,77378450.328125,306614511.78125,7332732612.95312,7639347124.73438,248576.677304224,5944748.98757768,6193325.6648819
"2404","10010000",4193.25,2016-07-31,"A",1278.10255910072,1272.01886304507,1270.92582600001,225062445.429688,77378450.328125,302440895.757812,7301469750.10156,7603910645.85938,245193.068363399,5919403.74698384,6164596.81534724
"2405","10010000",4193.26,2016-08-01,"A",1278.10560710062,1272.02200745321,1270.92582600001,225656481.085938,77378450.328125,303034931.414062,7305933319.71094,7608968251.125,245674.66138642,5923022.42535613,6168697.08674255
